gvkey,datadate,fyear,indfmt,datafmt,tic,conm,curcd,at,ceq,dlc,dltt,ebitda,fincf,ivncf,oancf
001045,19981231,1998,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,22303.0000,6698.0000,202.0000,4200.0000,3625.0000,-914.0000,-2248.0000,3195.0000
001045,19991231,1999,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,24374.0000,6858.0000,538.0000,5689.0000,2248.0000,1184.0000,-3450.0000,2264.0000
001045,20001231,2000,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,26213.0000,7176.0000,796.0000,5474.0000,2583.0000,137.0000,-3275.0000,3142.0000
001045,20011231,2001,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,32841.0000,5373.0000,772.0000,9834.0000,-456.0000,4211.0000,-4691.0000,511.0000
001045,20021231,2002,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,30267.0000,957.0000,868.0000,12310.0000,-1256.0000,2506.0000,-1393.0000,-1111.0000
001045,20031231,2003,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,29330.0000,46.0000,804.0000,13126.0000,582.0000,60.0000,-645.0000,601.0000
001045,20041231,2004,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,28773.0000,-581.0000,806.0000,13524.0000,1159.0000,331.0000,-1048.0000,717.0000
001045,20051231,2005,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,29495.0000,-1478.0000,1239.0000,13456.0000,1266.0000,533.0000,-1539.0000,1024.0000
001045,20061231,2006,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,29145.0000,-606.0000,1349.0000,12041.0000,2217.0000,-591.0000,-1365.0000,1939.0000
001045,20071231,2007,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,28571.0000,2657.0000,1049.0000,10093.0000,2093.0000,-1675.0000,-234.0000,1935.0000
001045,20081231,2008,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,25175.0000,-2935.0000,1956.0000,9001.0000,510.0000,382.0000,1055.0000,-1394.0000
001045,20091231,2009,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,25438.0000,-3489.0000,1114.0000,10583.0000,262.0000,1755.0000,-2723.0000,930.0000
001045,20101231,2010,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,25088.0000,-3945.0000,1883.0000,9253.0000,1303.0000,804.0000,-2030.0000,1241.0000
001045,20111231,2011,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,23848.0000,-7111.0000,1518.0000,6702.0000,695.0000,727.0000,-1292.0000,680.0000
001045,20121231,2012,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,23510.0000,-7987.0000,1419.0000,7116.0000,1434.0000,489.0000,-1571.0000,1279.0000
001045,20131231,2013,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,42278.0000,-2731.0000,1446.0000,15353.0000,2956.0000,3799.0000,-3814.0000,675.0000
001045,20141231,2014,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,43771.0000,2021.0000,1708.0000,16196.0000,6585.0000,-315.0000,-2911.0000,3080.0000
001045,20151231,2015,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,48415.0000,5635.0000,2231.0000,18330.0000,8891.0000,-1259.0000,-5594.0000,6249.0000
001045,20161231,2016,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,51274.0000,3785.0000,1855.0000,22489.0000,7833.0000,-894.0000,-5698.0000,6524.0000
001045,20171231,2017,INDL,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,51396.0000,3926.0000,2554.0000,22511.0000,6809.0000,-1145.0000,-3626.0000,4744.0000
001075,19981231,1998,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,6824.5460,2163.3510,346.8750,2048.9610,946.8070,-272.9020,-339.8820,605.8380
001075,19991231,1999,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,6608.5060,2205.7330,153.0980,2206.0520,964.3450,-264.1780,-371.2550,635.6000
001075,20001231,2000,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,7149.1510,2382.7140,546.2440,1955.0830,1070.3810,12.1050,-722.0070,699.5600
001075,20011231,2001,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,7981.7480,2499.3230,531.9020,2673.0780,1102.5300,567.1300,-1119.8040,570.9300
001075,20021231,2002,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,8425.8060,2686.1530,383.2060,2881.6950,940.9330,81.3110,-902.9970,870.7740
001075,20031231,2003,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,9536.3780,2829.7790,511.5610,2897.7250,920.1960,-33.8510,-716.7660,901.8300
001075,20041231,2004,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,9896.7470,2950.1960,688.1950,2584.9850,907.3640,-277.8230,-531.9530,842.0800
001075,20051231,2005,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,11322.6450,3424.9640,400.6200,2608.4550,1001.5030,-154.5670,-585.0920,730.2960
001075,20061231,2006,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,11455.9430,3446.1160,37.3460,3232.6330,977.5140,108.4380,-568.7330,393.5020
001075,20071231,2007,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,11243.7120,3531.6110,504.4340,3127.1250,992.6870,184.5290,-873.3540,657.9360
001075,20081231,2008,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,11620.0930,3445.9790,848.1150,3031.6030,920.9040,50.5150,-815.1590,813.5680
001075,20091231,2009,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,11808.1550,3316.1090,431.4080,3370.5240,984.5570,-286.0150,-704.9170,1031.0650
001075,20101231,2010,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12362.7030,3683.3270,648.4790,3045.7940,1138.4390,-209.7470,-575.9000,750.4570
001075,20111231,2011,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,13111.0180,3821.8500,477.4350,3019.0540,1173.5620,-420.1810,-782.0070,1125.5830
001075,20121231,2012,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,13379.6150,3972.8060,215.0030,3199.0880,1256.0910,-305.5090,-872.9940,1171.1220
001075,20131231,2013,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,13508.6860,4194.4700,693.5490,2796.4650,1262.0310,-160.5820,-1009.4010,1153.3070
001075,20141231,2014,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,14313.5320,4367.4930,530.9700,3031.2150,1228.6000,-178.8810,-922.6680,1099.6270
001075,20151231,2015,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,15028.2580,4583.9170,357.5800,3462.3910,1349.0240,3.7900,-1066.2330,1094.3270
001075,20161231,2016,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,16004.2530,4803.6220,302.2000,4021.7850,1341.8130,198.0810,-1252.0780,1023.3900
001075,20171231,2017,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,17019.0820,5006.6900,177.4000,4789.7130,1468.5450,315.5120,-1428.5370,1118.0360
001078,19981231,1998,INDL,STD,ABT,ABBOTT LABORATORIES,USD,13216.2130,5713.6610,1759.0760,1339.6940,3902.1660,-1233.6860,-1420.8660,2732.9010
