"AXP","Index","DJIA S&P500","P/E","14.67","EPS (ttm)","7.32","Insider Own","0.10%","Shs Outstand","848.22M","Perf Week","0.77%"
"AXP","Market Cap","91.13B","Forward P/E","11.99","EPS next Y","8.96","Insider Trans","-6.85%","Shs Float","848.22M","Perf Month","7.75%"
"AXP","Income","6.29B","PEG","1.17","EPS next Q","2.00","Inst Own","85.00%","Short Float","0.78%","Perf Quarter","-0.75%"
"AXP","Sales","41.63B","P/S","2.19","EPS this Y","23.70%","Inst Trans","0.32%","Short Ratio","1.59","Perf Half Y","2.51%"
"AXP","Book/sh","26.32","P/B","4.08","EPS next Y","10.30%","ROA","3.70%","Target Price","115.13","Perf Year","10.19%"
"AXP","Cash/sh","3.84","P/C","28.01","EPS next 5Y","12.50%","ROE","32.20%","52W Range","89.05 - 114.55","Perf YTD","12.72%"
"AXP","Dividend","1.56","P/FCF","14.47","EPS past 5Y","8.50%","ROI","4.20%","52W High","-6.21%","Beta","1.11"
"AXP","Dividend %","1.45%","Quick Ratio","-","Sales past 5Y","4.50%","Gross Margin","69.30%","52W Low","20.65%","ATR","1.34"
"AXP","Employees","59000","Current Ratio","-","Sales Q/Q","9.10%","Oper. Margin","19.50%","RSI (14)","72.79","Volatility","0.70% 1.05%"
"AXP","Optionable","Yes","Debt/Eq","5.90","EPS Q/Q","8.30%","Profit Margin","16.30%","Rel Volume","0.54","Prev Close","106.61"
"AXP","Shortable","Yes","LT Debt/Eq","2.62","Earnings","Jan 17 AMC","Payout","18.20%","Avg Volume","4.17M","Price","107.44"
"AXP","Recom","2.40","SMA20","3.04%","SMA50","6.44%","SMA200","4.36%","Volume","2,249,814","Change","0.78%"
"BA","Index","DJIA S&P500","P/E","23.72","EPS (ttm)","17.87","Insider Own","0.10%","Shs Outstand","570.80M","Perf Week","3.47%"
"BA","Market Cap","242.05B","Forward P/E","18.15","EPS next Y","23.36","Insider Trans","-12.14%","Shs Float","564.52M","Perf Month","18.25%"
"BA","Income","10.45B","PEG","1.01","EPS next Q","4.29","Inst Own","70.30%","Short Float","0.93%","Perf Quarter","32.13%"
"BA","Sales","101.13B","P/S","2.39","EPS this Y","51.70%","Inst Trans","-0.44%","Short Ratio","1.19","Perf Half Y","19.87%"
"BA","Book/sh","0.59","P/B","718.73","EPS next Y","15.62%","ROA","9.10%","Target Price","440.00","Perf Year","20.34%"
"BA","Cash/sh","15.00","P/C","28.26","EPS next 5Y","23.58%","ROE","-","52W Range","292.47 - 422.41","Perf YTD","31.49%"
"BA","Dividend","8.22","P/FCF","25.07","EPS past 5Y","24.50%","ROI","76.40%","52W High","0.39%","Beta","1.33"
"BA","Dividend %","1.94%","Quick Ratio","0.30","Sales past 5Y","3.10%","Gross Margin","19.40%","52W Low","44.99%","ATR","7.59"
